Timestamp,RTT (ms)
1750244976,41.814
1750244977,27.297
1750244978,23.305
1750244979,49.547
1750244980,45.611
1750244981,48.361
1750244982,25.253
1750244983,15.898
1750244984,39.638
1750244985,41.481
1750244986,23.491
1750244987,86.84
1750244988,60.496
1750244992,20.716
1750244993,33.49
1750244995,37.491
1750244997,65.455
1750245001,82.304
1750245002,51.644
1750245003,43.426
1750245006,16.544
1750245008,26.758
1750245011,20.957
1750245014,19.493
1750245015,18.435
1750245018,19.723
1750245019,16.887
1750245021,25.949
1750245023,36.685
1750245026,20.847
1750245028,15.959
1750245030,37.842
1750245031,42.43
1750245036,16.698
1750245042,19.943
1750245047,34.134
1750245054,118.274
1750245056,26.341
1750245060,60
1750245064,60
1750245069,25.599
1750245074,18.54
1750245075,17.304
1750245076,35.902
1750245077,20.663
1750245078,22.364
1750245079,23.653
1750245080,26.007
1750245081,37.707
1750245082,24.141
1750245083,40.158
1750245084,20.833
1750245085,17.185
1750245086,17.495
1750245087,38.541
1750245088,20.601
1750245089,26.386
1750245090,25.93
1750245092,19.192
1750245093,15.911
1750245094,15.435
1750245095,32.039
1750245096,18.776
1750245097,22.433
1750245098,15.428
1750245099,29.6
1750245100,16.554
1750245101,30.872
1750245102,23.698
1750245103,15.84
1750245104,23.297
1750245105,16.005
1750245106,18.584
1750245107,22.944
1750245108,14.696
1750245109,17.668
1750245110,20.707
1750245111,21.748
1750245112,44.985
1750245113,23.651
1750245114,29.362
1750245115,19.2
1750245116,42.582
1750245117,17.216
1750245118,15.389
1750245119,17.336
1750245120,76.976
1750245121,17.613
1750245122,32.615
1750245125,193.233
1750245130,34.756
1750245131,31.164
1750245133,194.813
1750245134,45.661
1750245136,15.201
1750245137,80.898
1750245138,23.306
1750245139,17.305
1750245142,26.321
1750245144,27.508
1750245145,22.725
1750245146,31.852
1750245147,68.827
1750245149,16.294
1750245150,19.91
1750245151,31.325
1750245152,73.952
1750245153,20.593
1750245154,31.726
1750245155,130.098
1750245156,34.49
1750245158,23.921
1750245161,20.124
1750245163,20.669
1750245165,24.665
1750245168,19.269
1750245175,18.354
1750245178,63.64
1750245182,17.811
1750245186,25.129
1750245188,21.884
1750245195,98.813
1750245198,21.413
1750245202,24.342
1750245203,33.92
1750245206,22.789
1750245208,22.26
1750245211,20.502
1750245214,23.345
1750245218,17.075
1750245219,25.758
1750245220,17.419
1750245221,17.247
1750245222,17.291
1750245223,21.922
1750245224,39.448
1750245225,18.907
1750245226,24.172
1750245227,41.177
1750245228,17.056
1750245229,24.132
1750245230,23.692
1750245231,28.908
1750245232,16.147
1750245233,22.259
1750245234,19.625
1750245235,35.84
1750245236,39.467
1750245237,86.702
1750245238,63.527
1750245239,32.965
1750245240,47.284
1750245241,187.505
1750245242,24.561
1750245243,25.026
1750245244,18.816
1750245245,17.623
1750245246,18.48
1750245247,20.43
1750245248,19.656
1750245249,32.028
1750245250,16.008
1750245251,16.755
1750245252,19.689
1750245253,16.198
1750245254,25.897
1750245255,19.971
1750245256,17.234
1750245257,36.912
1750245258,30.266
1750245259,147.564
1750245264,25.337
1750245265,14.967
1750245268,51.304
1750245269,19.772
1750245271,20.77
1750245276,43.456
1750245279,16.928
1750245281,30.348
1750245282,38.876
1750245286,18.569
1750245291,33.325
1750245293,23.3
1750245297,26.053
1750245301,71.799
1750245302,55.423
1750245303,20.963
1750245304,31.377
1750245305,30.79
1750245306,25.895
1750245307,19.786
1750245308,31.139
1750245309,19.287
1750245310,20.734
1750245311,14.955
1750245312,20.814
1750245313,35.82
1750245314,23.97
1750245315,15.528
1750245316,74.068
1750245317,14.628
1750245318,25.456
1750245319,19.56
1750245320,30.982
1750245321,20.841
1750245322,18.634
1750245323,15.085
1750245324,55.664
1750245325,30.233
1750245326,21.069
1750245327,25.09
1750245328,25.529
1750245329,25.362
1750245330,24.684
1750245331,20.257
1750245332,18.647
1750245333,22.996
1750245334,23.798
1750245335,19.187
1750245336,20.481
1750245337,69.675
1750245338,58.183
1750245339,22.41
1750245340,20.201
1750245341,36.367
1750245342,19.194
1750245343,18.197
1750245344,18.349
1750245345,40.29
1750245346,20.21
1750245347,30.177
1750245348,36.853
1750245349,16.256
1750245350,28.392
1750245351,31.236
1750245352,32.453
1750245353,18.711
1750245354,26.661
1750245355,15.495
1750245356,24.571
1750245357,28.659
1750245358,25.254
1750245359,32.522
1750245360,21.795
1750245361,39.871
1750245362,24.518
1750245363,85.989
1750245364,28.47
1750245365,62.954
1750245366,21.961
1750245367,30.247
1750245368,57.043
1750245369,16.392
1750245370,35.141
1750245371,18.604
1750245372,38.658
1750245373,14.852
1750245374,45.23
1750245375,20.961
1750245376,14.601
